order_id,customer_id,sku,qty,order_date,status
ORD000001,CUST00294,SKU00094,37,2023-09-03,Shipped
ORD000002,CUST00159,PRO00066,89,2023-09-24,Completed
ORD000003,CUST00321,SKU00067,83,2023-03-27,Completed
ORD000004,CUST00005,ITM00021,93,2024-08-27,Processing
ORD000005,CUST00365,SKU00083,89,2024-01-28,Pending
ORD000006,CUST00025,PRO00037,61,2023-08-12,Shipped
ORD000007,CUST00418,SKU00152,32,2024-12-26,Processing
ORD000008,CUST00184,PROD00016,,2023-04-12,Completed
ORD000009,CUST00117,SKU00118,47,2024-05-22,Shipped
ORD000010,CUST99999,SKU00098,47,2024-02-13,Shipped
ORD000011,CUST00376,PROD00125,93,2024-08-31,Shipped
ORD000012,CUST00481,SKU00083,57,2023-09-06,Shipped
ORD000013,CUST00198,PRO00144,92,2025-03-25,Completed
ORD000014,CUST00365,SKU00031,60,2024-12-02,Cancelled 
ORD000015,CUST00201,PRO00019,87,2025-05-26,Pending
ORD000016,CUST00091,PROD00136,52,2024-06-04,Pending
ORD000017,CUST00110,ITM00070,7,2023-02-11,Completed
ORD000018,CUST00027,PROD00051,31,2024-08-13,Shipped
ORD000019,CUST00452,PROD00191,29,2025-02-05,Processing
ORD000020,CUST00446,SKU00188,78,2025-05-17,Cancelled
ORD000021,CUST00180,ITM00058,14,2023-12-14,Cancelled
ORD000022,CUST00157,SKU00067,27,2023-01-24,Completed
ORD000023,CUST00052,PROD00165,34,2023-12-28,Cancelled
ORD000024,CUST00306,PRO00162,56,2024-04-16,Cancelled
ORD000025,CUST00346,ITM00036,30,2024-12-02,Pending
ORD000026,CUST00343,PROD00018,1,2025-01-02,Shipped
ORD000027,CUST00276,PROD00080,40,2025-06-17,Completed
ORD000028,CUST00143,ITM00071,34,2025-07-19,Processing
ORD000029,CUST00032,PROD00056,8,2024-08-27,Completed
ORD000030,CUST00271,SKU00088,3,,Shipped
ORD000031,CUST00005,PROD00090,99,2025-04-28,Processing
ORD000032,CUST00223,ITM00043,79,2024-12-28,Cancelled
ORD000033,CUST00386,SKU00140,86,2024-12-23,Cancelled
ORD000034,CUST00081,PROD00045,4,2025-04-29,Cancelled
ORD000035,CUST00267,PROD00062,54,2025-06-07,Cancelled
ORD000036,,PROD00107,86,2024-02-06,Processing
ORD000037,CUST00293,PROD00171,51,2023-02-12,Shipped
ORD000038,CUST00422,ITM00033,9,2024-04-10,Completed
ORD000039,CUST00065,ITM00189,97,2023-10-15,Completed
ORD000040,CUST00287,PRO00053,74,2024-01-24, Completed
ORD000041,CUST00493,PROD00178,30,2024-10-26,Completed
ORD000042,CUST00024,PRO00014,37,2025-07-17,Pending
ORD000043,CUST00404,PROD00184,7,2023-06-01,Processing
ORD000044,CUST00262,ITM00077,66,2024-12-23,Completed
ORD000045,CUST00156,PRO00068,40,2025-03-16,Pending
ORD000046,CUST00178,PROD00174,47,2024-07-04,Cancelled
ORD000047,CUST00313,SKU00143,23,2025-04-30,Pending
ORD000048,CUST00234,SKU00061,91,2023-09-08,Cancelled
ORD000049,CUST99999,PROD00056,15,2023-06-25,Completed
ORD000050,CUST00358,SKU00009,22,2023-05-23,Processing
ORD000051,CUST00462,PRO00131,16,2023-09-12,Pending
ORD000052,CUST00044,SKU00196,81,2025-08-22,Pending 
ORD000053,CUST00004,SKU00154,48,2024-12-11,Processing
