transaction_id,sku,warehouse_id,transaction_type,quantity_change,timestamp
TXN0000001,SKU00088,WH002,ADJUSTMENT,6,2023-04-20T00:00:00
TXN0000002,PROD00168,WH004,OUTBOUND,-161,2025-01-03T00:00:00
TXN0000003,ITM00135,WH003,ADJUSTMENT,35,2024-06-14T00:00:00
TXN0000004,PROD00006,WH001,TRANSFER,27,2024-05-05T00:00:00
TXN0000005,PRO00193,WH001,TRANSFER,107,2025-01-31T00:00:00
TXN0000006,PROD00106,WH005,ADJUSTMENT,14,2024-02-04T00:00:00
TXN0000007,ITM00058,WH002,ADJUSTMENT,144,2023-05-20T00:00:00
TXN0000008,PRO00037,WH001,RETURN,142,2023-03-09T00:00:00
TXN0000009,SKU00057,WH002,OUTBOUND,-107,2024-01-13T00:00:00
TXN0000010,PRO00074,WH001,INBOUND,26,2025-01-04T00:00:00
TXN0000011,PRO00030,WH002,INBOUND,31,2023-10-09T00:00:00
TXN0000012,PROD00062,WH005,ADJUSTMENT,160,2025-02-16T00:00:00
TXN0000013,SKU00088,WH004,RETURN,41,2023-03-21T00:00:00
TXN0000014,ITM00176,WH003,OUTBOUND,-177,2025-07-20T00:00:00
TXN0000015,PROD00107,WH001,RETURN,136,2024-05-05T00:00:00
TXN0000016,SKU00124,WH005,TRANSFER,26,2024-06-03T00:00:00
TXN0000017,PRO00028,WH001,OUTBOUND,-130,2024-04-13T00:00:00
TXN0000018,PRO00095,WH003,INBOUND,80,2025-02-02T00:00:00
TXN0000019,PROD00199,WH002,INBOUND,174,2024-05-18T00:00:00
TXN0000020,ITM00096,WH004,RETURN,24,2023-08-19T00:00:00
TXN0000021,PRO00029,WH005,RETURN,30,2024-12-21T00:00:00
TXN0000022,PRO00109,WH004,ADJUSTMENT,94,2024-11-18T00:00:00
TXN0000023,SKU00086,WH005,OUTBOUND,-65,2025-02-20T00:00:00
TXN0000024,SKU00035,WH002,OUTBOUND,-47,2025-03-16T00:00:00
TXN0000025,PRO00095,WH005,OUTBOUND,-124,2023-06-07T00:00:00
TXN0000026,SKU00196,WH001, RETURN,74,2024-11-08T00:00:00
TXN0000027,PROD00177,WH001,TRANSFER,62,2024-09-15T00:00:00
TXN0000028,PRO00017,WH005,OUTBOUND,-91,2024-04-07T00:00:00
TXN0000029,PRO00148,WH003,TRANSFER,147,2025-06-26T00:00:00
TXN0000030,PROD00004,WH002,INBOUND,47,2025-03-31T00:00:00
TXN0000031,PROD00145,WH002,ADJUSTMENT,26,2024-01-10T00:00:00
TXN0000032,PRO00003,WH005,INBOUND,144,2025-09-02T00:00:00
TXN0000033,SKU00026,WH005,ADJUSTMENT,178,2023-12-30T00:00:00
TXN0000034,SKU00197,WH005,OUTBOUND,-94,2023-02-17T00:00:00
TXN0000035,PRO00068,WH001,INBOUND,38,2024-06-16T00:00:00
TXN0000036,ITM00139,WH005,RETURN,57,2024-12-21T00:00:00
TXN0000037,PRO00092,WH002,INBOUND,186,2023-11-01T00:00:00
TXN0000038,SKU00170,WH004,RETURN,123,2025-06-11T00:00:00
TXN0000039,SKU00186,WH003,OUTBOUND,-132,2023-10-26T00:00:00
TXN0000040,PROD00106,WH005,OUTBOUND,-10,2025-08-05T00:00:00
TXN0000041,PRO00003,WH003,TRANSFER,192,2024-06-21T00:00:00
TXN0000042,PROD00121,WH004,INBOUND,13,2025-03-09T00:00:00
TXN0000043,PROD00121,WH001,INBOUND,80,2023-01-27T00:00:00
TXN0000044,SKU00069,WH003,INBOUND,100,2023-12-29T00:00:00
TXN0000045,PROD00004,WH004,INBOUND,127,2023-09-06T00:00:00
TXN0000046,PROD00132,WH005, TRANSFER,8,2024-06-09T00:00:00
TXN0000047,PROD00117,WH002,RETURN,29,2024-08-25T00:00:00
TXN0000048,ITM00091,WH001,TRANSFER,83,2024-09-15T00:00:00
TXN0000049,PROD00125,WH004,ADJUSTMENT,166,
TXN0000050,SKU00088,WH004, ADJUSTMENT ,125,2024-12-29T00:00:00
TXN0000051,ITM00023,WH004,RETURN,26,2024-07-31T00:00:00
TXN0000052,PRO00064,WH004,TRANSFER,98,2025-06-28T00:00:00
TXN0000053,SKU00173,WH001,TRANSFER,46,2024-01-05T00:00:00
TXN0000054,PRO00028,WH003,,10,2024-06-01T00:00:00
TXN0000055,PROD00191,WH004,OUTBOUND,-22,2025-09-02T00:00:00
