purchase_order_id,supplier_id,sku,qty_ordered,order_date,expected_delivery_date,delivery_status
PO000001,SUP028,ITM00166,540,2023-07-24,2023-08-16,Cancelled
PO000002,SUP030,PRO00115,71,2025-04-05,2025-04-11,Cancelled
PO000003,SUP002,PRO00161,387,2025-01-24,2025-03-12,In Transit
PO000004,SUP020,PROD00117,74,2024-03-24,2024-04-27,
PO000005,SUP023,PRO00109,251,2024-11-03,2024-11-11,Pending
PO000006,SUP025,PROD00123,148,2024-09-05,2024-09-16,Pending
PO000007,SUP027,SKU00138,178,2024-12-30,2025-01-16,Pending
PO000008,SUP029,ITM00172,186,2024-07-21,2024-08-25,Pending
PO000009,SUP001,SKU00069,225,2023-02-20,2023-04-07,Delivered
PO000010,SUP013,ITM00091,239,2023-10-26,2023-12-06,Cancelled
PO000011,SUP022,ITM00135,515,2025-06-20,2025-07-09,Delayed
PO000012,SUP010,PRO00097,516,2024-04-18,2024-04-27,Cancelled
PO000013,SUP025,PROD00102,111,2024-09-29,2024-10-09,Cancelled
PO000014,SUP027,SKU00181,348,2023-03-01,2023-04-19,Delivered
PO000015,SUP016,SKU00194,196,2024-12-06,2024-12-12,Delayed
PO000016,SUP027,PROD00059,247,2024-08-06,2024-08-25,Delayed
PO000017,SUP006,PRO00151,273,2025-08-08,2025-09-23,Pending
PO000018,SUP013,ITM00040,180,2024-02-17,2024-03-11,Delayed
PO000019,SUP028,ITM00036,127,2023-02-14,2023-03-23,Pending
PO000020,SUP030,PROD00178,287,2023-08-25,30-09-2023,In Transit
PO000021,SUP026,PRO00007,112,2025-06-12,2025-06-28,Delayed
PO000022,SUP030,SKU00101,116,2024-01-27,15-03-2024,Cancelled
PO000023,SUP001,SKU00054,409,2023-06-01,2023-06-07,In Transit
PO000024,SUP006,PROD00132,261,2025-06-08,2025-07-10,Cancelled
PO000025,SUP020,PRO00022,117,2023-10-26,2023-11-17,Pending
PO000026,SUP001,PROD00145,350,2024-09-29,2024-11-14,Delayed
PO000027,SUP004,ITM00166,,2025-09-01,2025-10-17,Delayed
PO000028,SUP029,PRO00148,458,2023-11-21,2023-12-13,In Transit
PO000029,SUP012,PROD00075,359,2023-12-03,2023-12-08,In Transit
PO000030,SUP009,PROD00045,145,2025-07-19,2025-08-17,Cancelled
PO000031,SUP014,SKU00101,361,2023-09-26,2023-11-04,In Transit
PO000032,SUP020,PROD00184,52,2025-01-24,2025-02-09,Delayed
